area,review_status,reviewed_paths_or_symbols,excluded_or_remaining,reviewer
authority,FULL,"root/nested AGENTS; Client Essential spec/checklist; contract extract; handoff 00/01/02/12/13/16/17; WP00; orchestration gates/rules/subagent contract; ANEXO D UAT; explicit 73-row completion audit",full HTML styling and unrelated historical roadmap prose,coordinator
checkout_runtime,FULL,"Git metadata; package.json; node/pnpm pins; Playwright/global setup; Vitest config; active Caddy route; deployed RELEASE-BUILD; Docker image/release labels","secret environment values; production document contents",coordinator
time_money,FULL_AFFECTED_CALL_CHAINS,"TimeSection; time/approval actions; PortalRepository time facade/corrections/billing symbols; TimeEntryRepository; transaction helper; billing-engine; related schemas/migrations/tests","unrelated repository/v3-repository symbols; production runtime mutation",wp00_time_money
reporting_exports,FULL_AFFECTED_CALL_CHAINS,"reporting exports XLSX/CSV/PDF builders; artifact jobs; Accounting Pack and ledger paths; related tests","unrelated reporting catalog branches; external Accounting reader check",wp00_reports_signoff
customer_conformity,FULL_AFFECTED_CALL_CHAINS,"customer-conformity repository; period lifecycle; report projections; portal report routes/UI; invoice issue gate; migrations/tests","live signed customer evidence; production private artifacts",wp00_reports_signoff
security_identity,FULL_AFFECTED_CALL_CHAINS,"optional MFA lifecycle; removal of step-up endpoint/helper/active writer interface; live-session/RBAC/IDOR/private downloads; full security gate; credential hygiene; production role/status/MFA flags","live credential rotation assessment; credentials/password hashes/session tokens/mailbox data excluded",coordinator
website_issuer,FULL_AFFECTED_CALL_CHAINS,"company/contact source; invoice template defaults/snapshots; invoice preview; 255-route build; responsive EN/ES/PT checks","human localized content approval; issued production documents",coordinator
operations,FULL_DEPLOYED_AND_VERIFIED,"reviewed deployer; exact release/current identity; additive migration; Caddy validation/routes/TLS; Docker health; job/lease state; two automatic cycles; pre-deploy backup and rollback; Owner continuity waiver; authenticated Owner/Worker route smoke; authorized synthetic lifecycle and audited archive","separate-host restoration waived; DNS/mail/account/password/service configuration mutations excluded",coordinator
vendor_generated,EXCLUDED,"none","node_modules; build caches; generated SvelteKit metadata; binaries; ZIP contents beyond verified checksums/manifests",coordinator
production_private,CONTROLLED_MINIMUM,"read-only integrity/schema/job-state and redacted role/MFA summaries; backup/release metadata; authenticated route status; worker confidentiality probes; exact synthetic lifecycle counts/states; hosting region/provider; redacted service endpoints/listener ownership; public DNS","real record payloads; private-document contents; secret values; account email/name; credentials/password hashes/session tokens; mailbox bodies; private mail configuration",coordinator
